,title,genre,author,cover_type,ratings,ranks,price,no_of_reviews,year
1636,Born to Run,Non Fiction,Bruce Springsteen,Hardcover,4.6,27,16.99,"12,957",2016
1637,Alexander Hamilton,Non Fiction,Ron Chernow,Paperback,4.7,28,12.64,"31,800",2016
1638,The Wonderful Things You Will Be,Fiction,Emily Winfield Martin,Hardcover,4.9,26,9.4,"28,398",2017
1639,The Wonderful Things You Will Be,Fiction,Emily Winfield Martin,Hardcover,4.9,28,9.4,"28,398",2018
1640,The Wonderful Things You Will Be,Fiction,Emily Winfield Martin,Hardcover,4.9,8,9.4,"28,398",2019
1650,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Non Fiction,Jen Sincero,Paperback,4.7,13,8.89,"45,545",2017
1651,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Non Fiction,Jen Sincero,Paperback,4.7,18,8.89,"45,545",2018
1658,Calm the F*ck Down: An Irreverent Adult Coloring Book,Non Fiction,Sasha O'Hara,Paperback,4.6,67,6.14,"21,341",2018
1660,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Non Fiction,Lysa TerKeurst,Paperback,4.7,52,10.49,"11,658",2017
1662,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",Non Fiction,Priscilla Shirer,Paperback,4.9,58,10.59,"10,808",2016
1663,The Whistler,Fiction,John Grisham,Hardcover,4.3,59,15.68,"103,947",2016
1664,If Animals Kissed Good Night,Fiction,Ann Whitford Paul,Board book,4.8,60,4.19,"73,038",2016
1665,If Animals Kissed Good Night,Fiction,Ann Whitford Paul,Board book,4.8,24,4.19,"73,038",2019
1670,Cooking for Jeffrey: A Barefoot Contessa Cookbook,Non Fiction,Ina Garten,Hardcover,4.7,61,18.63,"2,608",2016
1671,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Fiction,Golden Books,Hardcover,4.8,64,4.02,"13,764",2016
1673,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",Non Fiction,Gary J. Byrne,Hardcover,4.1,66,9.0,"13,619",2016
1674,First 100 Animals,Non Fiction,Roger Priddy,Board book,4.8,67,5.68,"9,969",2016
1675,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),Fiction,Ransom Riggs,Paperback,4.3,71,8.54,"36,831",2016
1676,Grit: The Power of Passion and Perseverance,Non Fiction,Angela Duckworth,Hardcover,4.6,72,15.69,"18,353",2016
1677,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,Fiction,Colson Whitehead,Hardcover,4.4,74,14.65,"66,680",2016
1678,The Food Lab: Better Home Cooking Through Science,Non Fiction,J. Kenji LÃ³pez-Alt,Hardcover,4.9,76,27.99,"9,966",2016
1679,Me Before You: A Novel (Movie Tie-In),Fiction,Jojo Moyes,Paperback,4.6,77,7.96,"1,232",2016
1680,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Non Fiction,Laurel Randolph,Paperback,4.4,6,9.93,"13,252",2017
1681,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Non Fiction,Laurel Randolph,Paperback,4.4,26,9.93,"13,252",2018
1688,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Non Fiction,Mark Manson,Hardcover,4.6,4,14.38,"137,840",2017
1689,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Non Fiction,Mark Manson,Hardcover,4.6,10,14.38,"137,840",2018
1690,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Non Fiction,Mark Manson,Hardcover,4.6,13,14.38,"137,840",2019
1697,The Getaway,Fiction,Jeff Kinney,Hardcover,4.7,5,7.71,"29,518",2017
1698,Astrophysics for People in a Hurry,Non Fiction,Neil deGrasse Tyson,Hardcover,4.6,8,9.99,"35,154",2017
1699,Astrophysics for People in a Hurry,Non Fiction,Neil deGrasse Tyson,Hardcover,4.6,63,9.99,"35,154",2018
1702,The Handmaid's Tale,Fiction,Margaret Atwood,Paperback,4.3,11,9.53,"154,610",2017
1704,What Happened,Non Fiction,Hillary Rodham Clinton,Hardcover,4.5,14,13.08,"11,150",2017
1705,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Non Fiction,Admiral William H. McRaven,Hardcover,4.7,16,11.58,"43,583",2017
1706,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Non Fiction,Admiral William H. McRaven,Hardcover,4.7,59,11.58,"43,583",2019
1711,Origin: A Novel (Robert Langdon),Fiction,Dan Brown,Hardcover,4.3,19,26.42,"135,656",2017
1712,The Sun and Her Flowers,Non Fiction,Rupi Kaur,Paperback,4.7,21,8.89,"21,572",2017
1714,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Non Fiction,Sheryl Sandberg,Hardcover,4.4,29,13.7,"7,762",2017
1715,The Pout-Pout Fish,Fiction,Deborah Diesen,Board book,4.8,30,4.98,"25,812",2018
1716,The Pout-Pout Fish,Fiction,Deborah Diesen,Board book,4.8,67,4.98,"25,813",2019
1721,Big Little Lies,Fiction,Liane Moriarty,Paperback,4.4,53,13.08,"157,369",2017
1722,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,Non Fiction,Melissa Hartwig Urban,Hardcover,4.6,55,15.92,"2,903",2017
1723,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,Non Fiction,Oprah Winfrey,Hardcover,4.6,61,14.67,"2,958",2017
1724,P is for Potty! (Sesame Street) (Lift-the-Flap),Non Fiction,Naomi Kleinberg,Board book,4.7,62,5.19,"30,010",2017
1725,P is for Potty! (Sesame Street) (Lift-the-Flap),Non Fiction,Naomi Kleinberg,Board book,4.7,29,5.19,"30,010",2018
1730,The Rooster Bar,Fiction,John Grisham,Hardcover,4.0,63,16.66,"55,409",2017
1731,The Giving Tree,Fiction,Shel Silverstein,Hardcover,4.9,64,10.98,"32,229",2017
1733,She Persisted: 13 American Women Who Changed the World,Non Fiction,Chelsea Clinton,Hardcover,4.8,65,10.01,"3,171",2017
1734,On Tyranny: Twenty Lessons from the Twentieth Century,Non Fiction,Timothy Snyder,Paperback,4.7,66,6.3,"28,747",2017
1735,Camino Island: A Novel,Fiction,John Grisham,Hardcover,4.2,69,14.99,"78,856",2017
1736,Turtles All the Way Down,Fiction,John Green,Hardcover,4.4,70,11.99,"24,478",2017
1737,Grant,Non Fiction,Ron Chernow,Hardcover,4.8,76,21.49,"13,457",2017
1738,Sapiens: A Brief History of Humankind,Non Fiction,Yuval Noah Harari,Hardcover,4.6,78,21.49,"133,927",2017
1739,Sapiens: A Brief History of Humankind,Non Fiction,Yuval Harari,Paperback,4.6,72,13.0,"133,959",2018
1740,Sapiens: A Brief History of Humankind,Non Fiction,Yuval Harari,Paperback,4.6,61,13.0,"133,934",2019
1747,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,Non Fiction,Benjamin Graham,Paperback,4.7,79,16.54,"38,373",2017
1748,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Non Fiction,Dr. Steven R Gundry  MD,Hardcover,4.4,80,15.15,"16,108",2017
1749,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Non Fiction,Dr. Steven R Gundry  MD,Hardcover,4.4,19,12.29,"16,108",2018
1752,Beneath a Scarlet Sky: A Novel,Fiction,Mark Sullivan,Paperback,4.6,60,13.46,"221,837",2018
1754,Principles: Life and Work,Non Fiction,Ray Dalio,Hardcover,4.6,62,18.98,"17,254",2018
1756,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Non Fiction,Amy Ramos,Paperback,4.3,12,6.98,"31,157",2018
1759,Becoming,Non Fiction,Michelle Obama,Hardcover,4.8,1,15.47,"195,535",2018
1760,Becoming,Non Fiction,Michelle Obama,Hardcover,4.8,2,15.47,"195,535",2019
1763,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Non Fiction,Rachel Hollis,Hardcover,4.5,5,11.89,"41,015",2019
1765,The Wonky Donkey,Fiction,Craig Smith,Paperback,4.8,3,5.28,"80,484",2018
1766,The Wonky Donkey,Fiction,Craig Smith,Paperback,4.8,12,5.28,"80,484",2019
1769,Fire and Fury: Inside the Trump White House,Non Fiction,Michael Wolff,Hardcover,4.0,4,6.45,"48,878",2018
1770,Fear: Trump in the White House,Non Fiction,Bob Woodward,Hardcover,4.4,5,12.99,"19,332",2018
1771,12 Rules for Life: An Antidote to Chaos,Non Fiction,Jordan B. Peterson,Hardcover,4.7,7,14.43,"58,004",2018
1772,12 Rules for Life: An Antidote to Chaos,Non Fiction,Jordan B. Peterson,Hardcover,4.7,73,14.43,"58,004",2019
1775,Magnolia Table,Non Fiction,Joanna Gaines,Hardcover,4.8,8,14.86,"34,289",2018
1777,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,Non Fiction,The Staff of The Late Show with Stephen Colbert,Hardcover,4.6,9,10.16,"10,532",2018
1778,"A Higher Loyalty: Truth, Lies, and Leadership",Non Fiction,James Comey,Hardcover,4.6,11,12.0,"17,426",2018
1779,Diary of a Wimpy Kid #13: Meltdown,Fiction,Jeff Kinney,Hardcover,4.8,13,7.2,"30,138",2018
1780,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Fiction,Dav Pilkey,Hardcover,4.8,16,8.54,"18,748",2018
1781,Educated: A Memoir,Non Fiction,Tara Westover,Hardcover,4.6,17,14.66,"208,290",2018
1782,Educated: A Memoir,Non Fiction,Tara Westover,Hardcover,4.6,3,14.66,"208,290",2019
1785,Homebody: A Guide to Creating Spaces You Never Want to Leave,Non Fiction,Joanna Gaines,Hardcover,4.8,22,20.9,"11,620",2018
1786,Crazy Rich Asians (Crazy Rich Asians Trilogy),Fiction,Kevin Kwan,Paperback,4.3,24,10.95,"52,765",2018
1787,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Non Fiction,Samin Nosrat,Hardcover,4.8,15,26.87,"22,322",2019
1789,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Fiction,Dav Pilkey,Hardcover,4.8,22,9.1,"21,307",2019
1791,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",Non Fiction,School Zone,Paperback,4.8,9,7.49,"70,725",2019
1793,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,Non Fiction,Bob Goff,Paperback,4.8,56,10.99,"8,929",2018
1794,Before We Were Yours: A Novel,Fiction,Lisa Wingate,Hardcover,4.6,57,14.76,"141,531",2018
1795,The Reckoning: A Novel,Fiction,John Grisham,Hardcover,4.1,58,15.73,"62,673",2018
1796,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",Non Fiction,Anthony William,Hardcover,4.7,65,26.37,"11,788",2018
1798,The Outsider: A Novel,Fiction,Stephen King,Hardcover,4.5,69,15.68,"55,928",2018
1799,Where the Crawdads Sing,Fiction,Delia Owens,Hardcover,4.7,70,14.67,"611,916",2018
1800,Where the Crawdads Sing,Fiction,Delia Owens,Hardcover,4.7,1,14.67,"611,916",2019
1801,Where the Crawdads Sing,Fiction,Delia Owens,Paperback,4.7,63,11.14,"611,916",2019
1808,The Woman in the Window: A Novel,Fiction,A. J. Finn,Hardcover,4.3,75,12.98,"130,105",2018
1809,D&D Monster Manual (Dungeons & Dragons Core Rulebook),Fiction,Dungeons & Dragons,Hardcover,4.9,76,16.49,"27,073",2018
1810,Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,Non Fiction,Suzanne Ryan,Paperback,4.6,77,17.29,"10,164",2018
1812,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Non Fiction,Jocko Willink,Hardcover,4.8,79,17.04,"34,963",2018
1813,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Non Fiction,Gregg Jarrett,Hardcover,4.8,80,9.0,"6,064",2018
1814,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Non Fiction,Robert T. Kiyosaki,Mass Market Paperback,4.7,52,7.49,"89,637",2019
1816,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Fiction,Dav Pilkey,Hardcover,4.9,4,6.79,"25,515",2019
1817,Wrecking Ball (Diary of a Wimpy Kid Book 14),Fiction,Jeff Kinney,Hardcover,4.9,7,11.99,"19,080",2019
1818,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Non Fiction,Rachel Hollis,Hardcover,4.6,11,13.2,"16,649",2019
1819,"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)",Fiction,Adir Levy,Hardcover,4.8,17,11.99,"23,341",2019
1820,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Non Fiction,Lysa TerKeurst,Hardcover,4.8,18,14.47,"19,148",2019
1821,Unfreedom of the Press,Non Fiction,Mark R. Levin,Hardcover,4.9,21,12.99,"9,317",2019
1822,Howard Stern Comes Again,Non Fiction,Howard Stern,Hardcover,4.5,26,18.12,"10,217",2019
1823,Guts: A Graphic Novel,Non Fiction,Raina Telgemeier,Paperback,4.8,27,6.79,"17,087",2019
1824,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Non Fiction,Amy Shields,Hardcover,4.8,30,11.96,"18,779",2019
1825,Zen as F*ck (Zen as F*ck Journals),Non Fiction,Monica Sweeney,Paperback,4.7,51,13.49,"24,501",2019
1826,The Institute: A Novel,Fiction,Stephen King,Hardcover,4.6,53,15.83,"56,332",2019
1827,The Testaments: The Sequel to The Handmaid's Tale,Fiction,Margaret Atwood,Hardcover,4.6,54,14.76,"67,689",2019
1828,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,Non Fiction,James Clear,Hardcover,4.8,58,13.79,"112,013",2019
1829,Talking to Strangers: What We Should Know about the People We Don't Know,Non Fiction,Malcolm Gladwell,Hardcover,4.4,68,13.77,"22,552",2019
1830,The Overstory: A Novel,Fiction,Richard Powers,Paperback,4.4,70,13.39,"36,714",2019
1831,Eleanor Oliphant Is Completely Fine: A Novel,Fiction,Gail Honeyman,Paperback,4.5,74,8.39,"226,373",2019
1832,Me: Elton John Official Autobiography,Non Fiction,Elton John,Hardcover,4.7,75,9.9,"27,342",2019
1833,The Road Back to You: An Enneagram Journey to Self-Discovery,Non Fiction,Ian Morgan Cron,Hardcover,4.7,76,9.99,"12,563",2019
1834,The Tattooist of Auschwitz: A Novel,Fiction,Heather Morris,Paperback,4.6,77,9.39,"158,421",2019
1835,People of Walmart Adult Coloring Book: Rolling Back Dignity,Non Fiction,Andrew Kipple,Paperback,4.7,78,12.96,"11,494",2019
1836,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,Non Fiction,Americaâs Test Kitchen Kids,Hardcover,4.8,80,10.49,21362,2019
